Clock, Period, Thermistor1, Thermistor2, Thermistor3, Thermistor4, Heater1, Heater2, Heater3, Heater4
105, NORMAL, -2.0, -1.0, -2.0, -2.0, 1, 1, 1, 1
106, NORMAL, -3.0, 0.0, -3.0, -3.0, 0, 1, 0, 0
107, NORMAL, -4.0, 1.0, -4.0, -4.0, 0, 1, 0, 0
108, NORMAL, -5.0, 2.0, -5.0, -5.0, 0, 1, 0, 0
109, NORMAL, -6.0, 3.0, -6.0, -6.0, 0, 1, 0, 0
110, NORMAL, -7.0, 4.0, -7.0, -7.0, 0, 1, 0, 0
111, NORMAL, -6.0, 3.0, -6.0, -6.0, 1, 0, 1, 1
112, NORMAL, -5.0, 2.0, -5.0, -5.0, 1, 0, 1, 1
113, NORMAL, -4.0, 1.0, -4.0, -4.0, 1, 0, 1, 1
114, NORMAL, -3.0, 0.0, -3.0, -3.0, 1, 0, 1, 1
115, NORMAL, -2.0, -1.0, -2.0, -2.0, 1, 0, 1, 1
116, NORMAL, -1.0, -2.0, -1.0, -1.0, 1, 0, 1, 1
117, NORMAL, 0.0, -3.0, 0.0, 0.0, 1, 0, 1, 1
118, NORMAL, 1.0, -4.0, 1.0, 1.0, 1, 0, 1, 1
119, NORMAL, 2.0, -5.0, 2.0, 2.0, 1, 0, 1, 1
120, NORMAL, 3.0, -6.0, 3.0, 3.0, 1, 0, 1, 1
121, NORMAL, 2.0, -5.0, 2.0, 2.0, 0, 1, 0, 0
122, NORMAL, 1.0, -4.0, 1.0, 1.0, 0, 1, 0, 0
123, NORMAL, 0.0, -3.0, 0.0, 0.0, 0, 1, 0, 0
124, NORMAL, -1.0, -2.0, -1.0, -1.0, 0, 1, 0, 0
125, NORMAL, -2.0, -1.0, -2.0, -2.0, 0, 1, 0, 0
126, NORMAL, -1.0, 0.0, -1.0, -1.0, 1, 1, 1, 1
127, NORMAL, 0.0, 1.0, 0.0, 0.0, 1, 1, 1, 1
128, NORMAL, 1.0, 2.0, 1.0, 1.0, 1, 1, 1, 1
129, NORMAL, 2.0, 3.0, 2.0, 2.0, 1, 1, 1, 1
130, NORMAL, 3.0, 4.0, 3.0, 3.0, 1, 1, 1, 1
131, NORMAL, 2.0, 3.0, 2.0, 2.0, 0, 0, 0, 0
132, NORMAL, 1.0, 2.0, 1.0, 1.0, 0, 0, 0, 0
133, NORMAL, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0
134, NORMAL, -1.0, 0.0, -1.0, -1.0, 0, 0, 0, 0
135, NORMAL, -2.0, -1.0, -2.0, -2.0, 0, 0, 0, 0
136, NORMAL, -1.0, 0.0, -1.0, -1.0, 1, 1, 1, 1
137, NORMAL, 0.0, 1.0, 0.0, 0.0, 1, 1, 1, 1
138, NORMAL, 1.0, 2.0, 1.0, 1.0, 1, 1, 1, 1
139, NORMAL, 2.0, 3.0, 2.0, 2.0, 1, 1, 1, 1
140, NORMAL, 3.0, 4.0, 3.0, 3.0, 1, 1, 1, 1
141, NORMAL, 2.0, 3.0, 2.0, 2.0, 0, 0, 0, 0
142, NORMAL, 1.0, 2.0, 1.0, 1.0, 0, 0, 0, 0
143, NORMAL, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0
144, NORMAL, -1.0, 0.0, -1.0, -1.0, 0, 0, 0, 0
145, NORMAL, -2.0, -1.0, -2.0, -2.0, 0, 0, 0, 0
146, NORMAL, -1.0, -2.0, -1.0, -1.0, 1, 0, 1, 1
147, NORMAL, 0.0, -3.0, 0.0, 0.0, 1, 0, 1, 1
148, NORMAL, 1.0, -4.0, 1.0, 1.0, 1, 0, 1, 1
149, NORMAL, 2.0, -5.0, 2.0, 2.0, 1, 0, 1, 1
150, NORMAL, 3.0, -6.0, 3.0, 3.0, 1, 0, 1, 1
151, NORMAL, 2.0, -5.0, 2.0, 2.0, 0, 1, 0, 0
152, NORMAL, 1.0, -4.0, 1.0, 1.0, 0, 1, 0, 0
153, NORMAL, 0.0, -3.0, 0.0, 0.0, 0, 1, 0, 0
154, NORMAL, -1.0, -2.0, -1.0, -1.0, 0, 1, 0, 0
155, NORMAL, -2.0, -1.0, -2.0, -2.0, 0, 1, 0, 0
156, NORMAL, -1.0, 0.0, -1.0, -1.0, 1, 1, 1, 1
157, NORMAL, 0.0, 1.0, 0.0, 0.0, 1, 1, 1, 1
158, NORMAL, 1.0, 2.0, 1.0, 1.0, 1, 1, 1, 1
159, NORMAL, 2.0, 3.0, 2.0, 2.0, 1, 1, 1, 1
160, NORMAL, 3.0, 4.0, 3.0, 3.0, 1, 1, 1, 1
161, NORMAL, 2.0, 3.0, 2.0, 2.0, 0, 0, 0, 0
162, NORMAL, 1.0, 2.0, 1.0, 1.0, 0, 0, 0, 0
163, NORMAL, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0
164, NORMAL, -1.0, 0.0, -1.0, -1.0, 0, 0, 0, 0
165, NORMAL, -2.0, -1.0, -2.0, -2.0, 0, 0, 0, 0
166, NORMAL, -3.0, 0.0, -1.0, -1.0, 0, 1, 1, 1
167, NORMAL, -4.0, 1.0, 0.0, 0.0, 0, 1, 1, 1
168, NORMAL, -5.0, 2.0, 1.0, 1.0, 0, 1, 1, 1
169, NORMAL, -6.0, 3.0, 2.0, 2.0, 0, 1, 1, 1
170, NORMAL, -7.0, 4.0, 3.0, 3.0, 0, 1, 1, 1
171, NORMAL, -6.0, 3.0, 2.0, 2.0, 1, 0, 0, 0
172, NORMAL, -5.0, 2.0, 1.0, 1.0, 1, 0, 0, 0
