Clock, Period, Thermistor1, Thermistor2, Thermistor3, Thermistor4, Heater1, Heater2, Heater3, Heater4
251, NORMAL, 2.0, -5.0, 2.0, 2.0, 0, 1, 0, 0
252, NORMAL, 1.0, -4.0, 1.0, 1.0, 0, 1, 0, 0
253, NORMAL, 0.0, -3.0, 0.0, 0.0, 0, 1, 0, 0
254, NORMAL, -1.0, -2.0, -1.0, -1.0, 0, 1, 0, 0
255, NORMAL, -2.0, -1.0, -2.0, -2.0, 0, 1, 0, 0
256, NORMAL, -1.0, 0.0, -1.0, -1.0, 1, 1, 1, 1
257, NORMAL, 0.0, 1.0, 0.0, 0.0, 1, 1, 1, 1
258, NORMAL, 1.0, 2.0, 1.0, 1.0, 1, 1, 1, 1
259, NORMAL, 2.0, 3.0, 2.0, 2.0, 1, 1, 1, 1
260, NORMAL, 3.0, 4.0, 3.0, 3.0, 1, 1, 1, 1
261, NORMAL, 2.0, 3.0, 2.0, 2.0, 0, 0, 0, 0
262, NORMAL, 1.0, 2.0, 1.0, 1.0, 0, 0, 0, 0
263, NORMAL, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0
264, NORMAL, -1.0, 0.0, -1.0, -1.0, 0, 0, 0, 0
265, NORMAL, -2.0, -1.0, -2.0, -2.0, 0, 0, 0, 0
266, NORMAL, -3.0, 0.0, -1.0, -1.0, 0, 1, 1, 1
267, NORMAL, -4.0, 1.0, 0.0, 0.0, 0, 1, 1, 1
268, NORMAL, -5.0, 2.0, 1.0, 1.0, 0, 1, 1, 1
269, NORMAL, -6.0, 3.0, 2.0, 2.0, 0, 1, 1, 1
270, NORMAL, -7.0, 4.0, 3.0, 3.0, 0, 1, 1, 1
271, NORMAL, -6.0, 3.0, 2.0, 2.0, 1, 0, 0, 0
272, NORMAL, -5.0, 2.0, 1.0, 1.0, 1, 0, 0, 0
273, NORMAL, -4.0, 1.0, 0.0, 0.0, 1, 0, 0, 0
274, NORMAL, -3.0, 0.0, -1.0, -1.0, 1, 0, 0, 0
275, NORMAL, -2.0, -1.0, -2.0, -2.0, 1, 0, 0, 0
276, NORMAL, -1.0, 0.0, -1.0, -1.0, 1, 1, 1, 1
277, NORMAL, 0.0, 1.0, 0.0, 0.0, 1, 1, 1, 1
278, NORMAL, 1.0, 2.0, 1.0, 1.0, 1, 1, 1, 1
279, NORMAL, 2.0, 3.0, 2.0, 2.0, 1, 1, 1, 1
280, NORMAL, 3.0, 4.0, 3.0, 3.0, 1, 1, 1, 1
281, NORMAL, 2.0, 3.0, 2.0, 2.0, 0, 0, 0, 0
282, NORMAL, 1.0, 2.0, 1.0, 1.0, 0, 0, 0, 0
283, NORMAL, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0
284, NORMAL, -1.0, 0.0, -1.0, -1.0, 0, 0, 0, 0
285, NORMAL, -2.0, -1.0, -2.0, -2.0, 0, 0, 0, 0
286, NORMAL, -1.0, -2.0, -3.0, -3.0, 1, 0, 0, 0
287, NORMAL, 0.0, -3.0, -4.0, -4.0, 1, 0, 0, 0
288, ECLIPSE, 4.0, -10.0, -11.0, -11.0, 1, 0, 0, 0
289, ECLIPSE, 8.0, -17.0, -18.0, -18.0, 1, 0, 0, 0
290, ECLIPSE, 12.0, -24.0, -25.0, -25.0, 1, 0, 0, 0
291, ECLIPSE, 5.0, -20.0, -21.0, -21.0, 0, 1, 1, 1
292, ECLIPSE, -2.0, -16.0, -17.0, -17.0, 0, 1, 1, 1
293, ECLIPSE, -9.0, -12.0, -13.0, -13.0, 0, 1, 1, 1
294, ECLIPSE, -16.0, -8.0, -9.0, -9.0, 0, 1, 1, 1
295, ECLIPSE, -23.0, -4.0, -5.0, -5.0, 0, 1, 1, 1
296, ECLIPSE, -19.0, 0.0, -1.0, -1.0, 1, 1, 1, 1
